path,file,name,kind,date,type,duration,transcription_doc,transcription_txt,transcription_json
2022/Henryk 2022-11-26 Prosiaczek wyobraża sobie swoją rozmowę ze słoniem.m4a,Henryk 2022-11-26 Prosiaczek wyobraża sobie swoją rozmowę ze słoniem.m4a,Prosiaczek wyobraża sobie swoją rozmowę ze słoniem,Henryk,2022-11-26,m4a,768.298667,Henryk 2022-11-26 Prosiaczek wyobraża sobie swoją rozmowę ze słoniem.docx,Henryk 2022-11-26 Prosiaczek wyobraża sobie swoją rozmowę ze słoniem.txt,Henryk 2022-11-26 Prosiaczek wyobraża sobie swoją rozmowę ze słoniem.json
2022/Henryk 2022-11-27 Prosiaczek odnajduje Małego i spotyka Krzysia.m4a,Henryk 2022-11-27 Prosiaczek odnajduje Małego i spotyka Krzysia.m4a,Prosiaczek odnajduje Małego i spotyka Krzysia,Henryk,2022-11-27,m4a,608.664671,Henryk 2022-11-27 Prosiaczek odnajduje Małego i spotyka Krzysia.docx,Henryk 2022-11-27 Prosiaczek odnajduje Małego i spotyka Krzysia.txt,Henryk 2022-11-27 Prosiaczek odnajduje Małego i spotyka Krzysia.json
2022/Henryk 2022-11-29 Puchatek wybrał się na spacer po lesie i myśli o przyjaciołach.m4a,Henryk 2022-11-29 Puchatek wybrał się na spacer po lesie i myśli o przyjaciołach.m4a,Puchatek wybrał się na spacer po lesie i myśli o przyjaciołach,Henryk,2022-11-29,m4a,486.037333,Henryk 2022-11-29 Puchatek wybrał się na spacer po lesie i myśli o przyjaciołach.docx,Henryk 2022-11-29 Puchatek wybrał się na spacer po lesie i myśli o przyjaciołach.txt,Henryk 2022-11-29 Puchatek wybrał się na spacer po lesie i myśli o przyjaciołach.json
2022/Henryk 2022-11-30 Tygrysek z Maleństwem wspinają się na drzewo.m4a,Henryk 2022-11-30 Tygrysek z Maleństwem wspinają się na drzewo.m4a,Tygrysek z Maleństwem wspinają się na drzewo,Henryk,2022-11-30,m4a,897.322667,Henryk 2022-11-30 Tygrysek z Maleństwem wspinają się na drzewo.docx,Henryk 2022-11-30 Tygrysek z Maleństwem wspinają się na drzewo.txt,Henryk 2022-11-30 Tygrysek z Maleństwem wspinają się na drzewo.json
2022/Henryk 2022-12-02 Tygrys i Maleństwo utknęli na drzewie i spotkali Puchatka z Prosiaczkiem.m4a,Henryk 2022-12-02 Tygrys i Maleństwo utknęli na drzewie i spotkali Puchatka z Prosiaczkiem.m4a,Tygrys i Maleństwo utknęli na drzewie i spotkali Puchatka z Prosiaczkiem,Henryk,2022-12-02,m4a,787.574422,Henryk 2022-12-02 Tygrys i Maleństwo utknęli na drzewie i spotkali Puchatka z Prosiaczkiem.docx,Henryk 2022-12-02 Tygrys i Maleństwo utknęli na drzewie i spotkali Puchatka z Prosiaczkiem.txt,Henryk 2022-12-02 Tygrys i Maleństwo utknęli na drzewie i spotkali Puchatka z Prosiaczkiem.json
2022/Henryk 2022-12-03 Krzyś i reszta przyjaciół ratują Tygryska i Maleństwo.m4a,Henryk 2022-12-03 Krzyś i reszta przyjaciół ratują Tygryska i Maleństwo.m4a,Krzyś i reszta przyjaciół ratują Tygryska i Maleństwo,Henryk,2022-12-03,m4a,712.149333,Henryk 2022-12-03 Krzyś i reszta przyjaciół ratują Tygryska i Maleństwo.docx,Henryk 2022-12-03 Krzyś i reszta przyjaciół ratują Tygryska i Maleństwo.txt,Henryk 2022-12-03 Krzyś i reszta przyjaciół ratują Tygryska i Maleństwo.json
2022/Henryk 2022-12-05 Królik wybiera się do Krzysia ale nie zastaje go w domu.m4a,Henryk 2022-12-05 Królik wybiera się do Krzysia ale nie zastaje go w domu.m4a,Królik wybiera się do Krzysia ale nie zastaje go w domu,Henryk,2022-12-05,m4a,792.490667,Henryk 2022-12-05 Królik wybiera się do Krzysia ale nie zastaje go w domu.docx,Henryk 2022-12-05 Królik wybiera się do Krzysia ale nie zastaje go w domu.txt,Henryk 2022-12-05 Królik wybiera się do Krzysia ale nie zastaje go w domu.json
"2022/Henryk 2022-12-06 Królik konsultuje się z Sową w sprawie tego, że Krzyś gdzieś poszedł.m4a","Henryk 2022-12-06 Królik konsultuje się z Sową w sprawie tego, że Krzyś gdzieś poszedł.m4a","Królik konsultuje się z Sową w sprawie tego, że Krzyś gdzieś poszedł",Henryk,2022-12-06,m4a,734.016000,"Henryk 2022-12-06 Królik konsultuje się z Sową w sprawie tego, że Krzyś gdzieś poszedł.docx","Henryk 2022-12-06 Królik konsultuje się z Sową w sprawie tego, że Krzyś gdzieś poszedł.txt","Henryk 2022-12-06 Królik konsultuje się z Sową w sprawie tego, że Krzyś gdzieś poszedł.json"
2022/Henryk 2022-12-07 Królik spotyka Puchatka i pyta go czy widział Krzysia.m4a,Henryk 2022-12-07 Królik spotyka Puchatka i pyta go czy widział Krzysia.m4a,Królik spotyka Puchatka i pyta go czy widział Krzysia,Henryk,2022-12-07,m4a,888.362667,Henryk 2022-12-07 Królik spotyka Puchatka i pyta go czy widział Krzysia.docx,Henryk 2022-12-07 Królik spotyka Puchatka i pyta go czy widział Krzysia.txt,Henryk 2022-12-07 Królik spotyka Puchatka i pyta go czy widział Krzysia.json
2022/Henryk 2022-12-08 Królik i Prosiaczek odwiedzają Kłapouchego pytając o to co robi Krzyś przed południem.m4a,Henryk 2022-12-08 Królik i Prosiaczek odwiedzają Kłapouchego pytając o to co robi Krzyś przed południem.m4a,Królik i Prosiaczek odwiedzają Kłapouchego pytając o to co robi Krzyś przed południem,Henryk,2022-12-08,m4a,873.749333,Henryk 2022-12-08 Królik i Prosiaczek odwiedzają Kłapouchego pytając o to co robi Krzyś przed południem.docx,Henryk 2022-12-08 Królik i Prosiaczek odwiedzają Kłapouchego pytając o to co robi Krzyś przed południem.txt,Henryk 2022-12-08 Królik i Prosiaczek odwiedzają Kłapouchego pytając o to co robi Krzyś przed południem.json
2022/Henryk 2022-12-10 Puchatek wymyśla grę w pływające Misie-Patysie.m4a,Henryk 2022-12-10 Puchatek wymyśla grę w pływające Misie-Patysie.m4a,Puchatek wymyśla grę w pływające Misie-Patysie,Henryk,2022-12-10,m4a,967.829333,Henryk 2022-12-10 Puchatek wymyśla grę w pływające Misie-Patysie.docx,Henryk 2022-12-10 Puchatek wymyśla grę w pływające Misie-Patysie.txt,Henryk 2022-12-10 Puchatek wymyśla grę w pływające Misie-Patysie.json
2022/Henryk 2022-12-12 Puchatek z Przyjaciółmi dostrzega w rzece Kłapouchego i wymyśla plan by go uratować.m4a,Henryk 2022-12-12 Puchatek z Przyjaciółmi dostrzega w rzece Kłapouchego i wymyśla plan by go uratować.m4a,Puchatek z Przyjaciółmi dostrzega w rzece Kłapouchego i wymyśla plan by go uratować,Henryk,2022-12-12,m4a,744.064000,Henryk 2022-12-12 Puchatek z Przyjaciółmi dostrzega w rzece Kłapouchego i wymyśla plan by go uratować.docx,Henryk 2022-12-12 Puchatek z Przyjaciółmi dostrzega w rzece Kłapouchego i wymyśla plan by go uratować.txt,Henryk 2022-12-12 Puchatek z Przyjaciółmi dostrzega w rzece Kłapouchego i wymyśla plan by go uratować.json
2022/Henryk 2022-12-13 Puchatek wraz z przyjaciółmi uratował Kłapouchego z rzeki.m4a,Henryk 2022-12-13 Puchatek wraz z przyjaciółmi uratował Kłapouchego z rzeki.m4a,Puchatek wraz z przyjaciółmi uratował Kłapouchego z rzeki,Henryk,2022-12-13,m4a,722.026667,Henryk 2022-12-13 Puchatek wraz z przyjaciółmi uratował Kłapouchego z rzeki.docx,Henryk 2022-12-13 Puchatek wraz z przyjaciółmi uratował Kłapouchego z rzeki.txt,Henryk 2022-12-13 Puchatek wraz z przyjaciółmi uratował Kłapouchego z rzeki.json
2022/Henryk 2022-12-15 Kłapouchy opowiada o tym jak został wbryknięty do rzeki.m4a,Henryk 2022-12-15 Kłapouchy opowiada o tym jak został wbryknięty do rzeki.m4a,Kłapouchy opowiada o tym jak został wbryknięty do rzeki,Henryk,2022-12-15,m4a,810.197333,Henryk 2022-12-15 Kłapouchy opowiada o tym jak został wbryknięty do rzeki.docx,Henryk 2022-12-15 Kłapouchy opowiada o tym jak został wbryknięty do rzeki.txt,Henryk 2022-12-15 Kłapouchy opowiada o tym jak został wbryknięty do rzeki.json
2022/Henryk 2022-12-16 Królik rozmawia z Puchatkiem i Prosiaczkiem o odbryknięciu Tygryska.m4a,Henryk 2022-12-16 Królik rozmawia z Puchatkiem i Prosiaczkiem o odbryknięciu Tygryska.m4a,Królik rozmawia z Puchatkiem i Prosiaczkiem o odbryknięciu Tygryska,Henryk,2022-12-16,m4a,682.581333,Henryk 2022-12-16 Królik rozmawia z Puchatkiem i Prosiaczkiem o odbryknięciu Tygryska.docx,Henryk 2022-12-16 Królik rozmawia z Puchatkiem i Prosiaczkiem o odbryknięciu Tygryska.txt,Henryk 2022-12-16 Królik rozmawia z Puchatkiem i Prosiaczkiem o odbryknięciu Tygryska.json
2022/Henryk 2022-12-17 Królik objaśnia Puchatkowi i Prosiaczkowi plan na odbryknięcie Tygryska następnego dnia.m4a,Henryk 2022-12-17 Królik objaśnia Puchatkowi i Prosiaczkowi plan na odbryknięcie Tygryska następnego dnia.m4a,Królik objaśnia Puchatkowi i Prosiaczkowi plan na odbryknięcie Tygryska następnego dnia,Henryk,2022-12-17,m4a,804.693333,Henryk 2022-12-17 Królik objaśnia Puchatkowi i Prosiaczkowi plan na odbryknięcie Tygryska następnego dnia.docx,Henryk 2022-12-17 Królik objaśnia Puchatkowi i Prosiaczkowi plan na odbryknięcie Tygryska następnego dnia.txt,Henryk 2022-12-17 Królik objaśnia Puchatkowi i Prosiaczkowi plan na odbryknięcie Tygryska następnego dnia.json
"2022/Henryk 2022-12-20 Puchatek, Królik, Prosiaczek zabrali Tygryska na wyprawę by go odbryknąć.m4a","Henryk 2022-12-20 Puchatek, Królik, Prosiaczek zabrali Tygryska na wyprawę by go odbryknąć.m4a","Puchatek, Królik, Prosiaczek zabrali Tygryska na wyprawę by go odbryknąć",Henryk,2022-12-20,m4a,853.077914,"Henryk 2022-12-20 Puchatek, Królik, Prosiaczek zabrali Tygryska na wyprawę by go odbryknąć.docx","Henryk 2022-12-20 Puchatek, Królik, Prosiaczek zabrali Tygryska na wyprawę by go odbryknąć.txt","Henryk 2022-12-20 Puchatek, Królik, Prosiaczek zabrali Tygryska na wyprawę by go odbryknąć.json"
"2022/Henryk 2022-12-21 Puchatek, Prosiaczek i Króik zgubili się w lesie chcąc zgubić Tygryska.m4a","Henryk 2022-12-21 Puchatek, Prosiaczek i Króik zgubili się w lesie chcąc zgubić Tygryska.m4a","Puchatek, Prosiaczek i Króik zgubili się w lesie chcąc zgubić Tygryska",Henryk,2022-12-21,m4a,764.725986,"Henryk 2022-12-21 Puchatek, Prosiaczek i Króik zgubili się w lesie chcąc zgubić Tygryska.docx","Henryk 2022-12-21 Puchatek, Prosiaczek i Króik zgubili się w lesie chcąc zgubić Tygryska.txt","Henryk 2022-12-21 Puchatek, Prosiaczek i Króik zgubili się w lesie chcąc zgubić Tygryska.json"
"2022/Henryk 2022-12-23 Puchatek, Prosiaczek i Królik pdnaleźli się w końcu i bardzo ucieszyli.m4a","Henryk 2022-12-23 Puchatek, Prosiaczek i Królik pdnaleźli się w końcu i bardzo ucieszyli.m4a","Puchatek, Prosiaczek i Królik pdnaleźli się w końcu i bardzo ucieszyli",Henryk,2022-12-23,m4a,844.068571,"Henryk 2022-12-23 Puchatek, Prosiaczek i Królik pdnaleźli się w końcu i bardzo ucieszyli.docx","Henryk 2022-12-23 Puchatek, Prosiaczek i Królik pdnaleźli się w końcu i bardzo ucieszyli.txt","Henryk 2022-12-23 Puchatek, Prosiaczek i Królik pdnaleźli się w końcu i bardzo ucieszyli.json"
2022/Henryk 2022-12-24 Życzenia świąteczne i świąteczna bajka o aniołku Lenusi.m4a,Henryk 2022-12-24 Życzenia świąteczne i świąteczna bajka o aniołku Lenusi.m4a,Życzenia świąteczne i świąteczna bajka o aniołku Lenusi,Henryk,2022-12-24,m4a,1804.979955,Henryk 2022-12-24 Życzenia świąteczne i świąteczna bajka o aniołku Lenusi.docx,Henryk 2022-12-24 Życzenia świąteczne i świąteczna bajka o aniołku Lenusi.txt,Henryk 2022-12-24 Życzenia świąteczne i świąteczna bajka o aniołku Lenusi.json
2022/Henryk 2022-12-24 Życzenia świąteczne od Michała i Danieli.m4a,Henryk 2022-12-24 Życzenia świąteczne od Michała i Danieli.m4a,Życzenia świąteczne od Michała i Danieli,Henryk,2022-12-24,m4a,23.274667,Henryk 2022-12-24 Życzenia świąteczne od Michała i Danieli.docx,Henryk 2022-12-24 Życzenia świąteczne od Michała i Danieli.txt,Henryk 2022-12-24 Życzenia świąteczne od Michała i Danieli.json
2022/Henryk 2022-12-24 Życzenia świąteczne od Mikołaja i Marty.m4a,Henryk 2022-12-24 Życzenia świąteczne od Mikołaja i Marty.m4a,Życzenia świąteczne od Mikołaja i Marty,Henryk,2022-12-24,m4a,19.180567,Henryk 2022-12-24 Życzenia świąteczne od Mikołaja i Marty.docx,Henryk 2022-12-24 Życzenia świąteczne od Mikołaja i Marty.txt,Henryk 2022-12-24 Życzenia świąteczne od Mikołaja i Marty.json
2022/Henryk 2022-12-24 Życzenia świąteczne od Babusi i Dziadziusia z Krakowa.m4a,Henryk 2022-12-24 Życzenia świąteczne od Babusi i Dziadziusia z Krakowa.m4a,Życzenia świąteczne od Babusi i Dziadziusia z Krakowa,Henryk,2022-12-24,m4a,53.440000,Henryk 2022-12-24 Życzenia świąteczne od Babusi i Dziadziusia z Krakowa.docx,Henryk 2022-12-24 Życzenia świąteczne od Babusi i Dziadziusia z Krakowa.txt,Henryk 2022-12-24 Życzenia świąteczne od Babusi i Dziadziusia z Krakowa.json
2022/Henryk 2022-12-25 Bajka o Najważniejszym prezencie na święta.m4a,Henryk 2022-12-25 Bajka o Najważniejszym prezencie na święta.m4a,Bajka o Najważniejszym prezencie na święta,Henryk,2022-12-25,m4a,1545.045333,Henryk 2022-12-25 Bajka o Najważniejszym prezencie na święta.docx,Henryk 2022-12-25 Bajka o Najważniejszym prezencie na święta.txt,Henryk 2022-12-25 Bajka o Najważniejszym prezencie na święta.json
2022/Henryk 2022-12-26 Bajka o świątecznym elfie.m4a,Henryk 2022-12-26 Bajka o świątecznym elfie.m4a,Bajka o świątecznym elfie,Henryk,2022-12-26,m4a,1681.473016,Henryk 2022-12-26 Bajka o świątecznym elfie.docx,Henryk 2022-12-26 Bajka o świątecznym elfie.txt,Henryk 2022-12-26 Bajka o świątecznym elfie.json
2022/Henryk 2022-12-27 Kubuś Puchatek z Prosiaczkiem postanawiają odwiedzić przyjaciół i życzyć im Szczęśliwego Czwartku.m4a,Henryk 2022-12-27 Kubuś Puchatek z Prosiaczkiem postanawiają odwiedzić przyjaciół i życzyć im Szczęśliwego Czwartku.m4a,Kubuś Puchatek z Prosiaczkiem postanawiają odwiedzić przyjaciół i życzyć im Szczęśliwego Czwartku,Henryk,2022-12-27,m4a,1089.450667,Henryk 2022-12-27 Kubuś Puchatek z Prosiaczkiem postanawiają odwiedzić przyjaciół i życzyć im Szczęśliwego Czwartku.docx,Henryk 2022-12-27 Kubuś Puchatek z Prosiaczkiem postanawiają odwiedzić przyjaciół i życzyć im Szczęśliwego Czwartku.txt,Henryk 2022-12-27 Kubuś Puchatek z Prosiaczkiem postanawiają odwiedzić przyjaciół i życzyć im Szczęśliwego Czwartku.json
"2022/Henryk 2022-12-29 Puchatek i Prosiaczek odwiedzają Kłapouchego a potem Sowę, gdy nagle domek Sowy przewraca się.m4a","Henryk 2022-12-29 Puchatek i Prosiaczek odwiedzają Kłapouchego a potem Sowę, gdy nagle domek Sowy przewraca się.m4a","Puchatek i Prosiaczek odwiedzają Kłapouchego a potem Sowę, gdy nagle domek Sowy przewraca się",Henryk,2022-12-29,m4a,843.754667,"Henryk 2022-12-29 Puchatek i Prosiaczek odwiedzają Kłapouchego a potem Sowę, gdy nagle domek Sowy przewraca się.docx","Henryk 2022-12-29 Puchatek i Prosiaczek odwiedzają Kłapouchego a potem Sowę, gdy nagle domek Sowy przewraca się.txt","Henryk 2022-12-29 Puchatek i Prosiaczek odwiedzają Kłapouchego a potem Sowę, gdy nagle domek Sowy przewraca się.json"
"2022/Henryk 2022-12-30 Kubuś Puchatek, Prosiaczek i Sowa próbują zrozumieć co też się stało z domkiem Sowy.m4a","Henryk 2022-12-30 Kubuś Puchatek, Prosiaczek i Sowa próbują zrozumieć co też się stało z domkiem Sowy.m4a","Kubuś Puchatek, Prosiaczek i Sowa próbują zrozumieć co też się stało z domkiem Sowy",Henryk,2022-12-30,m4a,826.432000,"Henryk 2022-12-30 Kubuś Puchatek, Prosiaczek i Sowa próbują zrozumieć co też się stało z domkiem Sowy.docx","Henryk 2022-12-30 Kubuś Puchatek, Prosiaczek i Sowa próbują zrozumieć co też się stało z domkiem Sowy.txt","Henryk 2022-12-30 Kubuś Puchatek, Prosiaczek i Sowa próbują zrozumieć co też się stało z domkiem Sowy.json"
2022/Henryk 2022-12-31 Kubuś Puchatek wymyśla jak Prosiaczek mógłby wszystkich uratować z domku Sowy.m4a,Henryk 2022-12-31 Kubuś Puchatek wymyśla jak Prosiaczek mógłby wszystkich uratować z domku Sowy.m4a,Kubuś Puchatek wymyśla jak Prosiaczek mógłby wszystkich uratować z domku Sowy,Henryk,2022-12-31,m4a,859.221333,Henryk 2022-12-31 Kubuś Puchatek wymyśla jak Prosiaczek mógłby wszystkich uratować z domku Sowy.docx,Henryk 2022-12-31 Kubuś Puchatek wymyśla jak Prosiaczek mógłby wszystkich uratować z domku Sowy.txt,Henryk 2022-12-31 Kubuś Puchatek wymyśla jak Prosiaczek mógłby wszystkich uratować z domku Sowy.json
2023/Henryk 2023-01-02 Prosiaczek ratuje Puchatka i Sowę.m4a,Henryk 2023-01-02 Prosiaczek ratuje Puchatka i Sowę.m4a,Prosiaczek ratuje Puchatka i Sowę,Henryk,2023-01-02,m4a,1091.818667,Henryk 2023-01-02 Prosiaczek ratuje Puchatka i Sowę.docx,Henryk 2023-01-02 Prosiaczek ratuje Puchatka i Sowę.txt,Henryk 2023-01-02 Prosiaczek ratuje Puchatka i Sowę.json
2023/Henryk 2023-01-03 Puchatek wymyśla pochwalną piosenkę o Prosiaczku.m4a,Henryk 2023-01-03 Puchatek wymyśla pochwalną piosenkę o Prosiaczku.m4a,Puchatek wymyśla pochwalną piosenkę o Prosiaczku,Henryk,2023-01-03,m4a,977.109333,Henryk 2023-01-03 Puchatek wymyśla pochwalną piosenkę o Prosiaczku.docx,Henryk 2023-01-03 Puchatek wymyśla pochwalną piosenkę o Prosiaczku.txt,Henryk 2023-01-03 Puchatek wymyśla pochwalną piosenkę o Prosiaczku.json
2023/Henryk 2023-01-04 Nagranie po wizycie w żłobku.m4a,Henryk 2023-01-04 Nagranie po wizycie w żłobku.m4a,Nagranie po wizycie w żłobku,Henryk,2023-01-04,m4a,488.245986,Henryk 2023-01-04 Nagranie po wizycie w żłobku.docx,Henryk 2023-01-04 Nagranie po wizycie w żłobku.txt,Henryk 2023-01-04 Nagranie po wizycie w żłobku.json
2023/Henryk 2023-01-05 Królik rozmawia z Kłapouchym o znalezieniu domku dla Sowy.m4a,Henryk 2023-01-05 Królik rozmawia z Kłapouchym o znalezieniu domku dla Sowy.m4a,Królik rozmawia z Kłapouchym o znalezieniu domku dla Sowy,Henryk,2023-01-05,m4a,954.133333,Henryk 2023-01-05 Królik rozmawia z Kłapouchym o znalezieniu domku dla Sowy.docx,Henryk 2023-01-05 Królik rozmawia z Kłapouchym o znalezieniu domku dla Sowy.txt,Henryk 2023-01-05 Królik rozmawia z Kłapouchym o znalezieniu domku dla Sowy.json
2023/Henryk 2023-01-06 Przyjaciele Kubusia Puchatka i Sowy uwijają się by zebrać rzeczy ze starego mieszkania Sowy.m4a,Henryk 2023-01-06 Przyjaciele Kubusia Puchatka i Sowy uwijają się by zebrać rzeczy ze starego mieszkania Sowy.m4a,Przyjaciele Kubusia Puchatka i Sowy uwijają się by zebrać rzeczy ze starego mieszkania Sowy,Henryk,2023-01-06,m4a,937.436009,Henryk 2023-01-06 Przyjaciele Kubusia Puchatka i Sowy uwijają się by zebrać rzeczy ze starego mieszkania Sowy.docx,Henryk 2023-01-06 Przyjaciele Kubusia Puchatka i Sowy uwijają się by zebrać rzeczy ze starego mieszkania Sowy.txt,Henryk 2023-01-06 Przyjaciele Kubusia Puchatka i Sowy uwijają się by zebrać rzeczy ze starego mieszkania Sowy.json
"2023/Henryk 2023-01-07 Kłapouchy, Puchatek, Prosiaczek i Krzyś idą do domu Prosiaczka by tam zamieszkała Sowa.m4a","Henryk 2023-01-07 Kłapouchy, Puchatek, Prosiaczek i Krzyś idą do domu Prosiaczka by tam zamieszkała Sowa.m4a","Kłapouchy, Puchatek, Prosiaczek i Krzyś idą do domu Prosiaczka by tam zamieszkała Sowa",Henryk,2023-01-07,m4a,915.242667,"Henryk 2023-01-07 Kłapouchy, Puchatek, Prosiaczek i Krzyś idą do domu Prosiaczka by tam zamieszkała Sowa.docx","Henryk 2023-01-07 Kłapouchy, Puchatek, Prosiaczek i Krzyś idą do domu Prosiaczka by tam zamieszkała Sowa.txt","Henryk 2023-01-07 Kłapouchy, Puchatek, Prosiaczek i Krzyś idą do domu Prosiaczka by tam zamieszkała Sowa.json"
2023/Henryk 2023-01-08 Królik wzywa przyjaciół do powzięcia Ryzolucji w sprawie odejścia Krzysia a Kłapouchy czyta Poemat.m4a,Henryk 2023-01-08 Królik wzywa przyjaciół do powzięcia Ryzolucji w sprawie odejścia Krzysia a Kłapouchy czyta Poemat.m4a,Królik wzywa przyjaciół do powzięcia Ryzolucji w sprawie odejścia Krzysia a Kłapouchy czyta Poemat,Henryk,2023-01-08,m4a,1049.856000,Henryk 2023-01-08 Królik wzywa przyjaciół do powzięcia Ryzolucji w sprawie odejścia Krzysia a Kłapouchy czyta Poemat.docx,Henryk 2023-01-08 Królik wzywa przyjaciół do powzięcia Ryzolucji w sprawie odejścia Krzysia a Kłapouchy czyta Poemat.txt,Henryk 2023-01-08 Królik wzywa przyjaciół do powzięcia Ryzolucji w sprawie odejścia Krzysia a Kłapouchy czyta Poemat.json
2023/Henryk 2023-01-10 Puchatek i Krzyś wybierają się w zaczarowane miejsce by nic nie robić.m4a,Henryk 2023-01-10 Puchatek i Krzyś wybierają się w zaczarowane miejsce by nic nie robić.m4a,Puchatek i Krzyś wybierają się w zaczarowane miejsce by nic nie robić,Henryk,2023-01-10,m4a,799.658667,Henryk 2023-01-10 Puchatek i Krzyś wybierają się w zaczarowane miejsce by nic nie robić.docx,Henryk 2023-01-10 Puchatek i Krzyś wybierają się w zaczarowane miejsce by nic nie robić.txt,Henryk 2023-01-10 Puchatek i Krzyś wybierają się w zaczarowane miejsce by nic nie robić.json
2023/Henryk 2023-01-11 Krzyś żegna się z Kubusiem Puchatkiem w Zaczarowanym Miejscu.m4a,Henryk 2023-01-11 Krzyś żegna się z Kubusiem Puchatkiem w Zaczarowanym Miejscu.m4a,Krzyś żegna się z Kubusiem Puchatkiem w Zaczarowanym Miejscu,Henryk,2023-01-11,m4a,1007.552000,Henryk 2023-01-11 Krzyś żegna się z Kubusiem Puchatkiem w Zaczarowanym Miejscu.docx,Henryk 2023-01-11 Krzyś żegna się z Kubusiem Puchatkiem w Zaczarowanym Miejscu.txt,Henryk 2023-01-11 Krzyś żegna się z Kubusiem Puchatkiem w Zaczarowanym Miejscu.json
2023/Rodzice Henryk 2023-01-12 Tupcio Chrupcio.m4a,Rodzice Henryk 2023-01-12 Tupcio Chrupcio.m4a,Tupcio Chrupcio,Rodzice Henryk,2023-01-12,m4a,211.904000,Rodzice Henryk 2023-01-12 Tupcio Chrupcio.docx,Rodzice Henryk 2023-01-12 Tupcio Chrupcio.txt,Rodzice Henryk 2023-01-12 Tupcio Chrupcio.json
"2023/Henryk 2023-01-13 Znowu poznajemy Kubusia Puchatka, który chciałby przechytrzyć pszczoły by zdobyć Miód.m4a","Henryk 2023-01-13 Znowu poznajemy Kubusia Puchatka, który chciałby przechytrzyć pszczoły by zdobyć Miód.m4a","Znowu poznajemy Kubusia Puchatka, który chciałby przechytrzyć pszczoły by zdobyć Miód",Henryk,2023-01-13,m4a,962.346667,"Henryk 2023-01-13 Znowu poznajemy Kubusia Puchatka, który chciałby przechytrzyć pszczoły by zdobyć Miód.docx","Henryk 2023-01-13 Znowu poznajemy Kubusia Puchatka, który chciałby przechytrzyć pszczoły by zdobyć Miód.txt","Henryk 2023-01-13 Znowu poznajemy Kubusia Puchatka, który chciałby przechytrzyć pszczoły by zdobyć Miód.json"
2023/Henryk 2023-01-14 Melodia dla Henryczka.m4a,Henryk 2023-01-14 Melodia dla Henryczka.m4a,Melodia dla Henryczka,Henryk,2023-01-14,m4a,97.616689,Henryk 2023-01-14 Melodia dla Henryczka.docx,Henryk 2023-01-14 Melodia dla Henryczka.txt,Henryk 2023-01-14 Melodia dla Henryczka.json
2023/Henryk 2023-01-14 Kubuś Puchatek próbuje zmylić pszczoły by dobrać się do miodku.m4a,Henryk 2023-01-14 Kubuś Puchatek próbuje zmylić pszczoły by dobrać się do miodku.m4a,Kubuś Puchatek próbuje zmylić pszczoły by dobrać się do miodku,Henryk,2023-01-14,m4a,1171.690667,Henryk 2023-01-14 Kubuś Puchatek próbuje zmylić pszczoły by dobrać się do miodku.docx,Henryk 2023-01-14 Kubuś Puchatek próbuje zmylić pszczoły by dobrać się do miodku.txt,Henryk 2023-01-14 Kubuś Puchatek próbuje zmylić pszczoły by dobrać się do miodku.json
2023/Henryk 2023-01-17 Kubuś Puchatek przychodzi zjeść małe co nieco u Królika i utyka w drzwiach.m4a,Henryk 2023-01-17 Kubuś Puchatek przychodzi zjeść małe co nieco u Królika i utyka w drzwiach.m4a,Kubuś Puchatek przychodzi zjeść małe co nieco u Królika i utyka w drzwiach,Henryk,2023-01-17,m4a,1045.504000,Henryk 2023-01-17 Kubuś Puchatek przychodzi zjeść małe co nieco u Królika i utyka w drzwiach.docx,Henryk 2023-01-17 Kubuś Puchatek przychodzi zjeść małe co nieco u Królika i utyka w drzwiach.txt,Henryk 2023-01-17 Kubuś Puchatek przychodzi zjeść małe co nieco u Królika i utyka w drzwiach.json
2023/Henryk 2023-01-18 Kubuś Puchatek chudnie przez tydzień by w końcu się uwolnić.m4a,Henryk 2023-01-18 Kubuś Puchatek chudnie przez tydzień by w końcu się uwolnić.m4a,Kubuś Puchatek chudnie przez tydzień by w końcu się uwolnić,Henryk,2023-01-18,m4a,817.621333,Henryk 2023-01-18 Kubuś Puchatek chudnie przez tydzień by w końcu się uwolnić.docx,Henryk 2023-01-18 Kubuś Puchatek chudnie przez tydzień by w końcu się uwolnić.txt,Henryk 2023-01-18 Kubuś Puchatek chudnie przez tydzień by w końcu się uwolnić.json
2023/Henryk 2023-01-19 Kubuś Puchatek tropi dwie łasice dookoła zagajnika.m4a,Henryk 2023-01-19 Kubuś Puchatek tropi dwie łasice dookoła zagajnika.m4a,Kubuś Puchatek tropi dwie łasice dookoła zagajnika,Henryk,2023-01-19,m4a,755.157333,Henryk 2023-01-19 Kubuś Puchatek tropi dwie łasice dookoła zagajnika.docx,Henryk 2023-01-19 Kubuś Puchatek tropi dwie łasice dookoła zagajnika.txt,Henryk 2023-01-19 Kubuś Puchatek tropi dwie łasice dookoła zagajnika.json
