path,file,name,kind,date,type,duration,transcription_doc,transcription_txt,transcription_json
2022/Henryk 2022-06-15 Bajka o książkach.m4a,Henryk 2022-06-15 Bajka o książkach.m4a,Bajka o książkach,Henryk,2022-06-15,m4a,659.157333,Henryk 2022-06-15 Bajka o książkach.docx,Henryk 2022-06-15 Bajka o książkach.txt,Henryk 2022-06-15 Bajka o książkach.json
2022/Henryk 2022-06-16 Bajka o ksiezniczce.m4a,Henryk 2022-06-16 Bajka o ksiezniczce.m4a,Bajka o ksiezniczce,Henryk,2022-06-16,m4a,623.808000,Henryk 2022-06-16 Bajka o ksiezniczce.docx,Henryk 2022-06-16 Bajka o ksiezniczce.txt,Henryk 2022-06-16 Bajka o ksiezniczce.json
2022/Henryk 2022-06-17 Bajka o małym Łee.m4a,Henryk 2022-06-17 Bajka o małym Łee.m4a,Bajka o małym Łee,Henryk,2022-06-17,m4a,492.053333,Henryk 2022-06-17 Bajka o małym Łee.docx,Henryk 2022-06-17 Bajka o małym Łee.txt,Henryk 2022-06-17 Bajka o małym Łee.json
2022/Henryk 2022-06-18 Zawody Łucznicze.m4a,Henryk 2022-06-18 Zawody Łucznicze.m4a,Zawody Łucznicze,Henryk,2022-06-18,m4a,631.040000,Henryk 2022-06-18 Zawody Łucznicze.docx,Henryk 2022-06-18 Zawody Łucznicze.txt,Henryk 2022-06-18 Zawody Łucznicze.json
2022/Henryk 2022-06-19 Dzien Ojca.m4a,Henryk 2022-06-19 Dzien Ojca.m4a,Dzien Ojca,Henryk,2022-06-19,m4a,650.325333,Henryk 2022-06-19 Dzien Ojca.docx,Henryk 2022-06-19 Dzien Ojca.txt,Henryk 2022-06-19 Dzien Ojca.json
2022/Henryk 2022-06-20 Bajka o Rysiu.m4a,Henryk 2022-06-20 Bajka o Rysiu.m4a,Bajka o Rysiu,Henryk,2022-06-20,m4a,527.957333,Henryk 2022-06-20 Bajka o Rysiu.docx,Henryk 2022-06-20 Bajka o Rysiu.txt,Henryk 2022-06-20 Bajka o Rysiu.json
2022/Henryk 2022-06-21 Bajka o Lisku.m4a,Henryk 2022-06-21 Bajka o Lisku.m4a,Bajka o Lisku,Henryk,2022-06-21,m4a,521.813333,Henryk 2022-06-21 Bajka o Lisku.docx,Henryk 2022-06-21 Bajka o Lisku.txt,Henryk 2022-06-21 Bajka o Lisku.json
2022/Henryk 2022-06-22 Bajka o dziku.m4a,Henryk 2022-06-22 Bajka o dziku.m4a,Bajka o dziku,Henryk,2022-06-22,m4a,688.917333,Henryk 2022-06-22 Bajka o dziku.docx,Henryk 2022-06-22 Bajka o dziku.txt,Henryk 2022-06-22 Bajka o dziku.json
2022/Henryk 2022-06-23 Bajka o tacie na dzień ojca.m4a,Henryk 2022-06-23 Bajka o tacie na dzień ojca.m4a,Bajka o tacie na dzień ojca,Henryk,2022-06-23,m4a,573.312000,Henryk 2022-06-23 Bajka o tacie na dzień ojca.docx,Henryk 2022-06-23 Bajka o tacie na dzień ojca.txt,Henryk 2022-06-23 Bajka o tacie na dzień ojca.json
2022/Henryk 2022-06-24 Bajka o zabawie.m4a,Henryk 2022-06-24 Bajka o zabawie.m4a,Bajka o zabawie,Henryk,2022-06-24,m4a,620.906667,Henryk 2022-06-24 Bajka o zabawie.docx,Henryk 2022-06-24 Bajka o zabawie.txt,Henryk 2022-06-24 Bajka o zabawie.json
2022/Henryk 2022-06-25 Bajka o rozowych okularach.m4a,Henryk 2022-06-25 Bajka o rozowych okularach.m4a,Bajka o rozowych okularach,Henryk,2022-06-25,m4a,738.517333,Henryk 2022-06-25 Bajka o rozowych okularach.docx,Henryk 2022-06-25 Bajka o rozowych okularach.txt,Henryk 2022-06-25 Bajka o rozowych okularach.json
2022/Henryk 2022-06-26 Bajka o zdrowym duchu.m4a,Henryk 2022-06-26 Bajka o zdrowym duchu.m4a,Bajka o zdrowym duchu,Henryk,2022-06-26,m4a,597.845333,Henryk 2022-06-26 Bajka o zdrowym duchu.docx,Henryk 2022-06-26 Bajka o zdrowym duchu.txt,Henryk 2022-06-26 Bajka o zdrowym duchu.json
2022/Henryk 2022-06-27 Bajka o Łosiu.m4a,Henryk 2022-06-27 Bajka o Łosiu.m4a,Bajka o Łosiu,Henryk,2022-06-27,m4a,511.552000,Henryk 2022-06-27 Bajka o Łosiu.docx,Henryk 2022-06-27 Bajka o Łosiu.txt,Henryk 2022-06-27 Bajka o Łosiu.json
2022/Henryk 2022-06-28 Bajka o Zdjęciach.m4a,Henryk 2022-06-28 Bajka o Zdjęciach.m4a,Bajka o Zdjęciach,Henryk,2022-06-28,m4a,738.453333,Henryk 2022-06-28 Bajka o Zdjęciach.docx,Henryk 2022-06-28 Bajka o Zdjęciach.txt,Henryk 2022-06-28 Bajka o Zdjęciach.json
2022/Henryk 2022-06-29 Bajka o Borsuku.m4a,Henryk 2022-06-29 Bajka o Borsuku.m4a,Bajka o Borsuku,Henryk,2022-06-29,m4a,360.861315,Henryk 2022-06-29 Bajka o Borsuku.docx,Henryk 2022-06-29 Bajka o Borsuku.txt,Henryk 2022-06-29 Bajka o Borsuku.json
2022/Henryk 2022-06-30 Bajka o misiu chrapciu.m4a,Henryk 2022-06-30 Bajka o misiu chrapciu.m4a,Bajka o misiu chrapciu,Henryk,2022-06-30,m4a,525.305034,Henryk 2022-06-30 Bajka o misiu chrapciu.docx,Henryk 2022-06-30 Bajka o misiu chrapciu.txt,Henryk 2022-06-30 Bajka o misiu chrapciu.json
2022/Henryk 2022-07-01 Bajka o liczeniu gwiazd.m4a,Henryk 2022-07-01 Bajka o liczeniu gwiazd.m4a,Bajka o liczeniu gwiazd,Henryk,2022-07-01,m4a,690.922667,Henryk 2022-07-01 Bajka o liczeniu gwiazd.docx,Henryk 2022-07-01 Bajka o liczeniu gwiazd.txt,Henryk 2022-07-01 Bajka o liczeniu gwiazd.json
